1636773450344|SEVERE|org.arl.unet.sim.HalfDuplexModem/Base@2642:die|Agent phy died: java.lang.NullPointerException
1636773598714|INFO|AUV1_Agent/1@2624:println|AUV-1 [7019.948194385295, -931.4574567165645, 0.0]
1636773599781|INFO|AUV2_Agent/2@2628:println|Data recieved as from AUV-1: 90 
1636773600366|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773600366|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773600366|INFO|AUV1_Agent/1@2624:println|AUV-1 [7022.201950170719, -1014.0032155161892, 0.0]
1636773602045|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773602045|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773602045|INFO|AUV1_Agent/1@2624:println|AUV-1 [7017.506373664923, -1097.797105359586, 0.0]
1636773603707|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773603707|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773603707|INFO|AUV1_Agent/1@2624:println|AUV-1 [7005.954508013612, -1180.0661235893615, 0.0]
1636773605381|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773605381|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773605381|INFO|AUV1_Agent/1@2624:println|AUV-1 [6987.456986871849, -1261.6715320634876, 0.0]
1636773607040|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773607040|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773607040|INFO|AUV1_Agent/1@2624:println|AUV-1 [6962.457640868633, -1340.7397985506352, 0.0]
1636773608701|INFO|AUV3_Agent/3@2632:println|Sending test data to : AUV-2
1636773608701|INFO|AUV1_Agent/1@2624:println|Sending data to : AUV-2
1636773608701|INFO|AUV1_Agent/1@2624:println|AUV-1 [6930.951307193998, -1417.5557470980834, 0.0]
